Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-20463.4;Aspire Huracan Verdampfer, Edelstahl;3;1;1;
MF-20463.5;Aspire Huracan Verdampfer, Schwarz;5;;;
MF-20465;Aspire BP Mesh Pro Coil 5st.;1;1;4;
MF-20466;YachtVape Nivan V2 MTL RTA Spare Bag;1;;;
MF-20544;Keeppower Akkubox D4 für 2x 20700/21700 Akkus;9;7;;
MF-20624;510 Mundstück Epoxidharz Wabenmuster mehrfarbig Typ1, Rot;1;2;1;
MF-20628;WHITE KING - Dampflion Liquid 10ml, 3 mg;6;305;164;
MF-20628.2;WHITE KING - Dampflion Liquid 10ml, 12 mg;500;257;518;214
MF-20628.3;WHITE KING - Dampflion Liquid 10ml, 20mg Nikotinsalz;15;507;1187;1537
MF-20629;BLACK QUEEN - Dampflion Liquid 10ml, 3 mg;1;8;20;208
MF-20629.1;BLACK QUEEN - Dampflion Liquid 10ml, 6 mg;100;5;268;303
MF-20629.2;BLACK QUEEN - Dampflion Liquid 10ml, 12 mg;701;100;155;1350
MF-20629.3;BLACK QUEEN - Dampflion Liquid 10ml, 20mg Nikotinsalz;9;36;653;234
MF-20630;WHITE KNIGHT - Dampflion Liquid 10ml, 3 mg;3;3;15;203
MF-20630.1;WHITE KNIGHT - Dampflion Liquid 10ml, 6 mg;200;11;67;212
MF-20630.2;WHITE KNIGHT - Dampflion Liquid 10ml, 12 mg;302;;360;808
MF-20630.3;WHITE KNIGHT - Dampflion Liquid 10ml, 20mg Nikotinsalz;308;6;116;520
MF-20631;WHITE BISHOP - Dampflion Liquid 10ml, 3 mg;4;367;23;
MF-20631.1;WHITE BISHOP - Dampflion Liquid 10ml, 6 mg;300;15;369;305
MF-20631.2;WHITE BISHOP - Dampflion Liquid 10ml, 12 mg;1;205;464;901
MF-20631.3;WHITE BISHOP - Dampflion Liquid 10ml, 20mg Nikotinsalz;318;24;41;1273
MF-20632;WHITE PAWN - Dampflion Liquid 10ml, 3 mg;4;;15;861
MF-20632.1;WHITE PAWN - Dampflion Liquid 10ml, 6 mg;300;11;37;326
MF-20632.2;WHITE PAWN - Dampflion Liquid 10ml, 12 mg;11;10;11;505
MF-20632.3;WHITE PAWN - Dampflion Liquid 10ml, 20mg Nikotinsalz;25;22;142;45
MF-20647;Franktastische Coils - Barney Höll-Heimer;2;;2;
MF-20649.1;Geekvape Aegis AP2 Kit, Schwarz;1;;;
MF-20649.7;Geekvape Aegis AP2 Kit, Gray Camo;1;;;
MF-20650;Geekvape Aegis AP2 Ersatzpod 2st.;2;;;
MF-20696;Black Lemint - 5EL Aroma 10ml;12;2;;2
MF-20697;KaMa TraKi - 5EL Aroma 10ml;22;9;14;5
MF-20698;Red Green Splash - 5EL Aroma 10ml;20;13;1;10
MF-20699;White Roseberry - 5EL Aroma 10ml;12;;1;2
MF-20710.2;Geekvape Aegis Max 2 Kit, Rot;1;2;;1
MF-20710.3;Geekvape Aegis Max 2 Kit, Edelstahl;1;3;;
MF-20710.4;Geekvape Aegis Max 2 Kit, Schwarz;2;1;;
MF-20711.3;Geekvape Aegis Max 2 Mod, Edelstahl;1;2;;
MF-20717;Pinkman Ice - Vampire Vape Aroma 30ml;30;17;43;19
MF-20721;Geekvape Wenax M1 Kit, Black;5;3;7;1
MF-20721.1;Geekvape Wenax M1 Kit, Gunmetal;6;5;3;3
MF-20721.10;Geekvape Wenax M1 Kit, Plaid Purple;5;;2;
MF-20721.11;Geekvape Wenax M1 Kit, Plaid Green;5;3;3;2
MF-20721.12;Geekvape Wenax M1 Kit, Spiral Grey;3;1;7;1
MF-20721.13;Geekvape Wenax M1 Kit, Spiral Dark;4;;4;
MF-20721.2;Geekvape Wenax M1 Kit, Red;1;2;2;1
MF-20721.3;Geekvape Wenax M1 Kit, Gradient Blue;3;3;;
MF-20721.4;Geekvape Wenax M1 Kit, Gradient Green;6;1;2;
MF-20721.6;Geekvape Wenax M1 Kit, Gradient Gold;1;;2;
MF-20721.7;Geekvape Wenax M1 Kit, Red / Blue;2;5;6;1
MF-20721.8;Geekvape Wenax M1 Kit, Diamond Silver;1;;3;
MF-20721.9;Geekvape Wenax M1 Kit, Diamond Pink;4;4;2;
MF-20723;Geekvape Wenax M1 Ersatzpod 4st., 0,8 Ohm Pod;33;40;10;55
MF-20723.1;Geekvape Wenax M1 Ersatzpod 4st., 1,2 Ohm Pod;12;8;60;
MF-20748;Vanilla Custard Tobacco - Cubarillo Aroma 15ml;11;10;23;11
MF-20749;Vanilla Custard Bold Tobacco - Cubarillo Aroma 15ml;10;2;17;
MF-20750;Rum Tobacco - Cubarillo Aroma 10ml;2;5;7;4
MF-20751;Mild Tobacco - Cubarillo Aroma 10ml;21;5;4;18
MF-20752;Ice Tobacco - Cubarillo Aroma 10ml;4;1;9;8
MF-20753;Bold Tobacco - Cubarillo Aroma 10ml;17;1;7;20
MF-20755;Uwell Kalmia Ersatzpod 4st.;1;;;6
MF-20757;Vaporesso Gen 200 Mod, Light Silver;2;;;
MF-20757.1;Vaporesso Gen 200 Mod, Schwarz;1;2;1;
MF-20757.2;Vaporesso Gen 200 Mod, Matte Grey;3;1;2;1
MF-20757.4;Vaporesso Gen 200 Mod, Aurora Green;3;;2;
MF-20757.5;Vaporesso Gen 200 Mod, Sunset Glow;3;;;
MF-20758;Vaporesso GTi Mesh Ersatzverdampferköpfe 5St., 0,4 Ohm Mesh Coil;11;3;10;1
MF-20758.1;Vaporesso GTi Mesh Ersatzverdampferköpfe 5St., 0,2 Ohm Mesh Coil;5;4;1;2
MF-20758.2;Vaporesso GTi Mesh Ersatzverdampferköpfe 5St., 0,15 Ohm Mesh Coil;4;2;;9
MF-20815;Efsane - Hayvan Juice Aroma 10ml;6;6;8;1
MF-20829;Voopoo Argus GT 2 Mod, Carbon Fiber;2;;;
MF-20829.3;Voopoo Argus GT 2 Mod, Graphite;1;1;;1
MF-20829.4;Voopoo Argus GT 2 Mod, Silver Gray;1;;1;
MF-20866.1;Linvo Bar Lite Einweg E-Zigarette, Pink Lemonade;2;1;3;
MF-20866.10;Linvo Bar Lite Einweg E-Zigarette, Menthol Breeze;1;;2;13
MF-20866.11;Linvo Bar Lite Einweg E-Zigarette, Apple Peach Ice;1;1;3;
MF-20866.12;Linvo Bar Lite Einweg E-Zigarette, Banana Ice Cream;10;3;9;
MF-20866.13;Linvo Bar Lite Einweg E-Zigarette, Mango Apple Pear;1;2;2;2
MF-20866.14;Linvo Bar Lite Einweg E-Zigarette, Strawberry Orange;1;11;5;7
MF-20866.15;Linvo Bar Lite Einweg E-Zigarette, Strawberry Kiwi;2;1;2;2
MF-20866.16;Linvo Bar Lite Einweg E-Zigarette, Strawberry Ice;2;4;7;2
MF-20866.17;Linvo Bar Lite Einweg E-Zigarette, Strawberry Ice Cream;9;3;5;3
MF-20866.18;Linvo Bar Lite Einweg E-Zigarette, Cherry Ice;11;2;6;
MF-20866.3;Linvo Bar Lite Einweg E-Zigarette, Watermelon Ice;8;1;0;15
MF-20866.5;Linvo Bar Lite Einweg E-Zigarette, Blue Razz Ice;1;;0;1
MF-20866.6;Linvo Bar Lite Einweg E-Zigarette, Cherry Cola Ice;1;1;0;
MF-20866.7;Linvo Bar Lite Einweg E-Zigarette, Lemon Tart;5;2;0;1
MF-20866.8;Linvo Bar Lite Einweg E-Zigarette, Orange Soda;15;6;6;1
MF-20866.9;Linvo Bar Lite Einweg E-Zigarette, Pineapple Orange;4;7;;
MF-20916;Aspire Flexus Stik Kit, Gunmetal;4;3;8;3
MF-20916.1;Aspire Flexus Stik Kit, Rot;2;1;1;
MF-20916.2;Aspire Flexus Stik Kit, Schwarz;3;5;4;2
MF-20916.3;Aspire Flexus Stik Kit, Silver;2;1;3;3
MF-20916.4;Aspire Flexus Stik Kit, Fuchsia;1;2;2;2
MF-20916.5;Aspire Flexus Stik Kit, Snow Mint;5;5;4;1
MF-20917;Aspire Flexus Blok Ersatzpod;2;2;2;4
MF-20918;Aspire Flexus Stik Ersatzpod;8;3;3;2
MF-20940;Frozen Cherries - IVG Aroma 10ml;5;6;3;
MF-20942;Paradise Lagoon - IVG Aroma 10ml;6;;2;1
MF-20943;Green Energy - IVG Aroma 10ml;8;1;3;
MF-20951;Pinkman Ice - Vampire Vape Liquid 10ml, 0 mg;17;3;11;9
MF-20951.1;Pinkman Ice - Vampire Vape Liquid 10ml, 3 mg;20;19;14;26
MF-20951.2;Pinkman Ice - Vampire Vape Liquid 10ml, 6 mg;20;20;13;22
MF-20951.3;Pinkman Ice - Vampire Vape Liquid 10ml, 12 mg;23;11;11;15
MF-20952.1;Uwell Caliburn GK2 Pod Kit, Aurora Green;3;11;7;1
MF-20952.2;Uwell Caliburn GK2 Pod Kit, Ribbon Red;3;10;11;5
MF-20952.3;Uwell Caliburn GK2 Pod Kit, Ocean Flame;5;5;1;5
MF-20952.4;Uwell Caliburn GK2 Pod Kit, Fantasy Pink;10;15;10;5
MF-20968;Bubble Gummy - MaZa Aroma 10ml;9;13;11;6
MF-20969;Yoco de Coco - MaZa Aroma 10ml;7;3;9;9
MF-20970;Peach Ice Tea - MaZa Aroma 10ml;20;;20;11
MF-20971;Apple Dream - MaZa Aroma 10ml;16;8;12;11
MF-20972;Watermelon on Ice - MaZa Aroma 10ml;5;23;23;6
MF-20973;Energy Ice - Dr. Frost Salt Nic 10ml Liquid;1;1;11;
MF-20974;Pink Soda - Dr. Frost Salt Nic 10ml Liquid;7;6;10;
MF-20977;Apple & Cranberry Ice - Dr. Frost Salt Nic 10ml Liquid;5;1;12;2
MF-20982.1;Geekvape Wenax H1 Kit, Gunmetal;4;;3;3
MF-20982.3;Geekvape Wenax H1 Kit, Schwarz;3;1;1;
MF-20982.5;Geekvape Wenax H1 Kit, Lavender;1;;3;
MF-20982.6;Geekvape Wenax H1 Kit, Space Grey;1;2;;
MF-20982.7;Geekvape Wenax H1 Kit, Lime Green;1;1;1;1
MF-20984;Geekvape Wenax H1 Pod 3st., H1 0,7 Ohm Pod;11;7;7;10
MF-20984.1;Geekvape Wenax H1 Pod 3st., H1 1,4 Ohm Pod;7;13;16;8
MF-20988.3;Eleaf iJust D20 Kit, Silver;1;;1;
MF-21067;Aspire Vilter Pro Pod Kit, Gold Hunter Green;1;;;
MF-21073.1;Steamwave Cotton One, Line 3,5;1;;;
MF-21074;Voopoo Argus Pod Tank 3st., 1,2 Ohm;16;25;17;27
MF-21074.1;Voopoo Argus Pod Tank 3st., 0,7 Ohm;14;24;40;57
MF-21075.2;Voopoo Argus Pod Kit, Rot;3;;;
MF-21075.3;Voopoo Argus Pod Kit, Schwarz;1;1;4;2
MF-21075.4;Voopoo Argus Pod Kit, Carbon Fiber;4;1;;
MF-21088;Green Grenade - Big Bottle Aroma 10ml;15;12;32;15
MF-21096;Kanzi - Twelve Monkeys Aroma 10ml;58;15;38;19
MF-21097;Mangabeys - Twelve Monkeys Aroma 10ml;5;6;5;2
MF-21098;Matata - Twelve Monkeys Aroma 10ml;7;15;4;8
MF-21099;Tropika - Twelve Monkeys Aroma 10ml;8;7;10;5
MF-21100;Harmony - Twelve Monkeys Aroma 10ml;12;5;2;5
MF-21101;Haven - Twelve Monkeys Aroma 10ml;9;9;4;5
MF-21102;Paradise - Twelve Monkeys Aroma 10ml;14;5;15;8
MF-21103;Zen - Twelve Monkeys Aroma 10ml;6;10;8;2
MF-21111.1;Voopoo Drag Q Kit, Chestnut;2;3;1;
MF-21111.2;Voopoo Drag Q Kit, Galaxy Blue;5;;3;
MF-21111.3;Voopoo Drag Q Kit, Marsala;4;;1;
MF-21111.4;Voopoo Drag Q Kit, Classic Red;3;;2;1
MF-21111.5;Voopoo Drag Q Kit, Vitality Orange;3;1;1;
MF-21113;Vaptio Prod 2 Pod Kit, Blau;1;;;
MF-21113.3;Vaptio Prod 2 Pod Kit, Silver;1;;;
MF-21114;Vaptio Prod 2 Ersatzpods 2st.;1;;;
MF-21157.1;Uwell Valyrian III Ersatzcoils 2st., dual Mesh Coil 0,14Ohm;1;7;4;7
MF-21160;Popdrop Basis 70VG/30PG 100ml;103;1;;6
MF-21161;Popdrop Basis 50VG/50PG 100ml;96;4;1;14
MF-21162;Six Licks Yolo Bar Einweg E-Zigarette, Menthol;52;;20;
MF-21162.1;Six Licks Yolo Bar Einweg E-Zigarette, Grape Ice;73;1;20;
MF-21162.2;Six Licks Yolo Bar Einweg E-Zigarette, Watermelon Ice;115;2;20;
MF-21162.3;Six Licks Yolo Bar Einweg E-Zigarette, Mango Ice;106;2;20;
MF-21162.4;Six Licks Yolo Bar Einweg E-Zigarette, Lychee Ice;57;;21;
MF-21162.5;Six Licks Yolo Bar Einweg E-Zigarette, Mixed Berries;136;1;3;
MF-21162.6;Six Licks Yolo Bar Einweg E-Zigarette, Blueberry;102;1;20;
MF-21162.7;Six Licks Yolo Bar Einweg E-Zigarette, Banana;43;;20;1
MF-21167.1;Vaporesso X Leerpod 2St., Silver;2;;1;
MF-21172;Tricky Tea - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;15;11;16;8
MF-21172.1;Tricky Tea - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;10;10;8;5
MF-21173;Strawberry Splash - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;31;11;11;20
MF-21174;Raspberry Rage - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;3;25;;15
MF-21175.1;Paradise Peach - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;14;26;7;13
MF-21176;Monstar Machine - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;24;10;20;10
MF-21176.1;Monstar Machine - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;15;15;2;8
MF-21177;Mighty Melon - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;32;20;15;10
MF-21177.1;Mighty Melon - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;5;25;15;10
MF-21178;Mad Mango - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;17;14;13;14
MF-21178.1;Mad Mango - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;4;20;13;6
MF-21179;Lucky Lychee - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;26;9;13;5
MF-21179.1;Lucky Lychee - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;2;18;9;16
MF-21180;Easy Energy - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;35;2;20;7
MF-21181;Crazy Cola - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;19;13;21;12
MF-21182;Cherry Clouds - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;15;22;1;18
MF-21183;Blue Bubble - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;30;11;25;12
MF-21183.1;Blue Bubble - Bad Candy Nic Salt Liquid 10ml, 10mg Nikotinsalz;2;22;16;6
MF-21184;Banana Beach - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;25;24;22;8
MF-21185;Angry Apple - Bad Candy Nic Salt Liquid 10ml, 20mg Nikotinsalz;26;;20;22
MF-21232.3;Erdbeer-Cool - Zazo Classics Liquid 10ml, 4 mg;39;14;4;21
MF-21232.4;Erdbeer-Cool - Zazo Classics Liquid 10ml, 8 mg;8;2;1;13
MF-21241.1;U - Must Have Liquid 10ml, 3 mg;1;;1;
MF-21241.3;U - Must Have Liquid 10ml, 12 mg;250;;;
MF-21241.4;U - Must Have Liquid 10ml, 20 mg;252;15;;
MF-21242;# - Must Have Liquid 10ml, 0 mg;103;;;
MF-21242.1;# - Must Have Liquid 10ml, 3 mg;251;2;5;
MF-21242.2;# - Must Have Liquid 10ml, 6 mg;2;;1;
MF-21242.3;# - Must Have Liquid 10ml, 12 mg;502;;;
MF-21242.4;# - Must Have Liquid 10ml, 20 mg;501;1;;
MF-21243;! - Must Have Liquid 10ml, 0 mg;150;;;1
MF-21243.2;! - Must Have Liquid 10ml, 6 mg;1;;;
MF-21243.3;! - Must Have Liquid 10ml, 12 mg;1;;;
MF-21244;V - Must Have Liquid 10ml, 0 mg;150;10;;0
MF-21244.1;V - Must Have Liquid 10ml, 3 mg;1;8;3;2
MF-21244.4;V - Must Have Liquid 10ml, 20 mg;1;6;;
MF-21245.3;S - Must Have Liquid 10ml, 12 mg;1;;4;
MF-21245.4;S - Must Have Liquid 10ml, 20 mg;2;4;5;
MF-21253;Aspire Nautilus 3S Tank, Blau;1;;;
MF-21258;Voopoo Vmate E Pod Kit, Classic Black;3;6;2;2
MF-21258.2;Voopoo Vmate E Pod Kit, Classic Brown;1;2;3;
MF-21258.3;Voopoo Vmate E Pod Kit, Classic Blue;3;;1;
MF-21258.5;Voopoo Vmate E Pod Kit, White Inlaid Gold;1;;1;
MF-21258.6;Voopoo Vmate E Pod Kit, Green Inlaid Gold;1;1;;
MF-21259;Voopoo Vmate V2 Ersatzpod 2st., 1,2 Ohm;20;14;31;9
MF-21259.1;Voopoo Vmate V2 Ersatzpod 2st., 0,7 Ohm;11;35;10;16
MF-21270.1;Geekvape Sonder U Kit, Black;10;;8;2
MF-21270.2;Geekvape Sonder U Kit, Wine Red;4;3;;
MF-21270.3;Geekvape Sonder U Kit, White;6;4;3;
MF-21270.5;Geekvape Sonder U Kit, Gray;9;6;;
MF-21270.7;Geekvape Sonder U Kit, Celeste Glaze;6;6;;
MF-21271;Geekvape U Ersatzpod 3st., 0,7 Ohm;64;6;32;28
MF-21271.1;Geekvape U Ersatzpod 3st., 1,1 Ohm;34;19;26;
MF-21276;IMIST Simurg V2 RTA, Matt Schwarz;1;2;;
MF-21277.1;Voopoo Vmate Pod Kit Infinity Edition, Gradient Blue;1;4;3;1
MF-21277.2;Voopoo Vmate Pod Kit Infinity Edition, Fancy Purple;1;3;1;
MF-21277.4;Voopoo Vmate Pod Kit Infinity Edition, Golden Brown;1;;4;
MF-21278;Blue Cherry - Revoltage Aroma 15ml;39;40;34;38
MF-21279;Yellow Raspberry - Revoltage Aroma 15ml;25;29;42;28
MF-21280;Revoltage Bar Disposable E-Zigarette, Yellow Raspberry;3;2;7;
MF-21280.1;Revoltage Bar Disposable E-Zigarette, Blue Cherry;5;7;8;3
MF-21280.2;Revoltage Bar Disposable E-Zigarette, White Melon;15;8;10;13
MF-21280.3;Revoltage Bar Disposable E-Zigarette, Black Mango;7;2;6;1
MF-21280.4;Revoltage Bar Disposable E-Zigarette, Aqua Berries;9;5;9;8
MF-21291.1;Smok Solus 2 Pod Kit, Silver;1;;;
MF-21295.1;Bottermelk Lemon - Vagrand Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;1;;1;
MF-21302;Black - KTS Line Nic Salt Liquid 10ml;1;1;1;1
MF-21303;Tea Granatapfel - KTS Tea Nic Salt Liquid 10ml;2;;1;2
MF-21305;Green No.3 - KTS Tea Nic Salt Liquid 10ml;2;;2;
MF-21309;Rote Früchte - KTS Tea Serie Aroma 10ml;6;9;8;3
MF-21315.1;187 Strassenbande Einweg E-Zigarette, Happy Cactuz;3;;5;1
MF-21315.11;187 Strassenbande Einweg E-Zigarette, Pink Mellow;2;1;5;
MF-21315.12;187 Strassenbande Einweg E-Zigarette, 040 Hamburg;2;;3;8
MF-21315.17;187 Strassenbande Einweg E-Zigarette, Schwarze Traube;11;;1;5
MF-21315.18;187 Strassenbande Einweg E-Zigarette, Miami Vice;3;;;
MF-21315.19;187 Strassenbande Einweg E-Zigarette, SE-X-XX;10;;1;5
MF-21315.2;187 Strassenbande Einweg E-Zigarette, I Scream Pistacio;10;;0;2
MF-21315.20;187 Strassenbande Einweg E-Zigarette, Vodoo King;1;1;;2
MF-21315.22;187 Strassenbande Einweg E-Zigarette, Frappo Chicco;20;;;5
MF-21315.23;187 Strassenbande Einweg E-Zigarette, Babba Huppa;20;;;2
MF-21315.3;187 Strassenbande Einweg E-Zigarette, Juicy Puzzy;1;;0;
MF-21315.9;187 Strassenbande Einweg E-Zigarette, Crazy Apple;10;1;;3
MF-21326;Strawberry Bomb Original - K-Boom Liquid 10ml, 3 mg;1;;;2
MF-21326.1;Strawberry Bomb Original - K-Boom Liquid 10ml, 6 mg;1;;;5
MF-21326.2;Strawberry Bomb Original - K-Boom Liquid 10ml, 12 mg;2;;;2
MF-21327;Raspberry Bomb Original - K-Boom Liquid 10ml, 3 mg;1;1;3;
MF-21327.1;Raspberry Bomb Original - K-Boom Liquid 10ml, 6 mg;2;;7;3
MF-21327.2;Raspberry Bomb Original - K-Boom Liquid 10ml, 12 mg;3;;;
MF-21328;Green Bomb Original - K-Boom Liquid 10ml, 3 mg;6;5;10;2
MF-21328.1;Green Bomb Original - K-Boom Liquid 10ml, 6 mg;10;5;3;
MF-21328.2;Green Bomb Original - K-Boom Liquid 10ml, 12 mg;5;1;;
MF-21329;Grape Bomb Original - K-Boom Liquid 10ml, 3 mg;3;;5;5
MF-21329.1;Grape Bomb Original - K-Boom Liquid 10ml, 6 mg;6;5;1;
MF-21329.2;Grape Bomb Original - K-Boom Liquid 10ml, 12 mg;5;;;
MF-21331;Raspberry Bomb - K-Boom Salt 20mg 10ml Liquid;1;1;2;2
MF-21332;Blue Cake Bomb - K-Boom Salt 20mg 10ml Liquid;7;2;1;2
MF-21333.1;Uwell Caliburn A2S Kit, Black;6;2;;3
MF-21333.5;Uwell Caliburn A2S Kit, Gray;2;2;3;
MF-21334;Uwell Caliburn A2S Ersatzpods 4st.;26;17;17;11
MF-21335;Bad Juju - Kapkas Aroma 10ml;2;;4;2
MF-21337.2;Uwell Whirl S2 Pod Kit, Rot;2;;;
MF-21337.4;Uwell Whirl S2 Pod Kit, Grün;1;;;
MF-21337.5;Uwell Whirl S2 Pod Kit, Silber;1;1;1;
MF-21339;Uwell Whirl S2 Ersatverdampferköpfe (4 Stück), 1,2 Ohm;7;3;;1
MF-21342;Blue Cherry - Revoltage Hybrid Nikotinsalz Liquid 10ml, 20 mg;19;40;30;23
MF-21342.1;Blue Cherry - Revoltage Hybrid Nikotinsalz Liquid 10ml, 10mg;15;25;23;14
MF-21354.1;The Bro´s Frost Disposable, Green Apple 20mg/ml;1;2;;
MF-21354.11;The Bro´s Frost Disposable, Grape 20mg/ml;1;;;
MF-21354.14;The Bro´s Frost Disposable, Pfirsich 10mg/ml;2;;;
MF-21354.15;The Bro´s Frost Disposable, Pfirsich 20mg/ml;2;;;1
MF-21354.3;The Bro´s Frost Disposable, Strawberry 10mg/ml;2;;1;
MF-21354.6;The Bro´s Frost Disposable, Mango 10mg/ml;5;;;
MF-21354.7;The Bro´s Frost Disposable, Mango 20mg/ml;18;;;
MF-21354.8;The Bro´s Frost Disposable, Sauerkirsch 10mg/ml;1;;0;
MF-21354.9;The Bro´s Frost Disposable, Sauerkirsch 20mg/ml;3;;;1
MF-21359;Crane - Kapkas Origami Aroma 10ml;1;;5;3
MF-21360;Devil Heart - Kapkas Origami Aroma 10ml;7;5;12;5
MF-21364;Duck - Kapkas Origami Aroma 10ml;5;1;4;
MF-21367;Red Death - Kapkas Aroma 10ml;35;5;14;8
MF-21368;Sturm - Kapkas Aroma 10ml;20;16;5;3
MF-21415.1;Uwell Cravat Pod Kit, Silver;1;;;1
MF-21427;Yellow Raspberry - Revoltage Hybrid Nikotinsalz Liquid 10ml, 20 mg;23;13;38;10
MF-21427.1;Yellow Raspberry - Revoltage Hybrid Nikotinsalz Liquid 10ml, 10 mg;32;16;28;15
MF-21428;Uwell Caliburn X Pod Kit, Ink-Blue;4;2;1;2
MF-21428.1;Uwell Caliburn X Pod Kit, Lake-Green;3;1;3;
MF-21428.2;Uwell Caliburn X Pod Kit, Lilac-Purple;1;1;;1
MF-21428.3;Uwell Caliburn X Pod Kit, Moonlight-Silver;1;2;1;1
MF-21428.4;Uwell Caliburn X Pod Kit, Ribbon-Red;1;1;1;
MF-21428.5;Uwell Caliburn X Pod Kit, Matte-Black;8;4;4;2
MF-21429;Uwell Caliburn X Pod Tank Verdampfer ohne Coil;16;8;14;9
MF-21430;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Watermelon;15;;;
MF-21430.10;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Lemon Tart;3;;;
MF-21430.15;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Blueberry Sour Raspberry;16;5;17;14
MF-21430.17;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Kiwi Passion Fruit Guava;13;;13;
MF-21430.20;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Coconut Melon;2;2;1;
MF-21430.21;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Strawberry Elfergy;2;;;
MF-21430.5;Elf Bar 600 Einweg E-Zigarette Nikotinfrei, Grape;2;1;;
MF-21431;Bro's Frost - Green Apple Aroma 10ml;5;0;10;
MF-21432;Bro's Frost - Banana Ice Aroma 10ml;6;3;8;4
MF-21433;Bro's Frost - Strawberry Aroma 10ml;10;4;6;1
MF-21434;Bro's Frost - Grape Aroma 10ml;2;2;0;
MF-21435;Bro's Frost - Mango Aroma 10ml;3;3;12;
MF-21436;Bro's Frost - Pfirsich Aroma 10ml;2;2;13;4
MF-21437;Bro's Frost - Sauerkirsch Aroma 10ml;1;1;;
MF-21438;Bro's Frost - Watermelon Aroma 10ml;3;;11;3
MF-21444.10;5 EL Einweg E-Zigarette, Double Melon;1;;;
MF-21444.14;5 EL Einweg E-Zigarette, Watermelon Bubble Gum;1;;;
MF-21444.7;5 EL Einweg E-Zigarette, Cherry Pop;1;;;
MF-21445;Voopoo Argus XT Kit, Carbon Fiber;4;2;1;
MF-21445.1;Voopoo Argus XT Kit, Lime Green;4;;2;
MF-21445.2;Voopoo Argus XT Kit, Dark Blue;1;1;;
MF-21445.3;Voopoo Argus XT Kit, Graphite;3;;;
MF-21445.4;Voopoo Argus XT Kit, Silver Grey;3;;2;
MF-21446.1;Voopoo Argus XT Mod, Lime Green;1;;;
MF-21446.3;Voopoo Argus XT Mod, Graphite;1;;2;
MF-21451;12BAR Einweg E-Zigarette, Grape Ice;94;66;177;38
MF-21451.1;12BAR Einweg E-Zigarette, Watermelon Ice;104;85;153;35
MF-21451.2;12BAR Einweg E-Zigarette, Strawberry Ice Cream;80;68;106;34
MF-21451.3;12BAR Einweg E-Zigarette, Blue Raspberry Ice;87;106;133;30
MF-21451.4;12BAR Einweg E-Zigarette, Sour Apple;72;50;113;21
MF-21451.5;12BAR Einweg E-Zigarette, Mint;73;22;59;20
MF-21451.6;12BAR Einweg E-Zigarette, Guava Kiwi Passion Fruit;72;49;109;20
MF-21451.7;12BAR Einweg E-Zigarette, Mango Pineapple Peach;84;55;120;32
MF-21451.8;12BAR Einweg E-Zigarette, Pineapple Coconut;81;28;120;33
MF-21451.9;12BAR Einweg E-Zigarette, Strawberry Banana Ice;72;33;83;29
MF-21457;Black Mango - Revoltage Hybrid Nikotinsalz Liquid 10ml, 20 mg;31;23;32;24
MF-21457.1;Black Mango - Revoltage Hybrid Nikotinsalz Liquid 10ml, 10mg;44;18;20;18
MF-21458;Aqua Berries - Revoltage Hybrid Nikotinsalz Liquid 10ml, 20 mg;28;32;15;
MF-21458.1;Aqua Berries - Revoltage Hybrid Nikotinsalz Liquid 10ml, 10mg;39;20;3;5
MF-21459;White Melon - Revoltage Hybrid Nikotinsalz Liquid 10ml, 20 mg;14;23;40;15
MF-21459.1;White Melon - Revoltage Hybrid Nikotinsalz Liquid 10ml, 10mg;41;10;27;28
MF-21460;White Melon- Revoltage Aroma 15ml;65;42;30;37
MF-21461;Aqua Berries- Revoltage Aroma 15ml;63;37;63;69
MF-21462;Black Mango- Revoltage Aroma 15ml;39;40;49;31
