Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-16183.1;Uwell Crown IV Ersatzglas 5ml/6ml, 6ml;1;5;3;5
MF-16193;Black - KTS Line Aroma 10ml;21;18;18;28
MF-16219;Cok Güzel Remake - Hayvan Juice Aroma 10ml;20;23;12;7
MF-16224;Aspire Nautilus 2S Ersatzerdampferköpfe (5er Pack), 0,4 Ohm;7;7;7;7
MF-16224.1;Aspire Nautilus 2S Ersatzerdampferköpfe (5er Pack), 0,7 Ohm Mesh Coil;35;21;13;28
MF-16309;Suorin iShare Ersatzpods 0,9ml 3er Pack;4;;;
MF-16311;Helios - Antimatter Aroma 10ml;53;49;71;44
MF-16312;Deuterium - Antimatter Aroma 10ml;32;15;6;43
MF-16317;Apple - Pod Salt 10ml Liquid, 20mg Nikotinsalz;11;4;2;3
MF-16319;Blackcurrant Menthol - Pod Salt 20mg 10ml Liquid;6;1;1;
MF-16320;Blue Berg - Pod Salt 10ml Liquid, 20mg Nikotinsalz;7;;1;
MF-16321;Cigarette - Pod Salt 10ml Liquid, 20mg Nikotinsalz;21;4;;3
MF-16324;Mango Ice - Pod Salt 10ml Liquid, 20mg Nikotinsalz;8;3;7;4
MF-16325;Mixed Berries - Pod Salt Core 10ml Liquid, 20mg Nikotinsalz;13;;;3
MF-16325.1;Mixed Berries - Pod Salt Core 10ml Liquid, 11mg Nikotinsalz;1;13;;
MF-16326;Strawberry - Pod Salt 10ml Liquid, 20mg Nikotinsalz;6;;;4
MF-16327;Vanilla - Pod Salt 10ml Liquid, 20mg Nikotinsalz;19;1;5;2
MF-16379;Stoffbeutel Meisterfids Paff Weiß;107;10;2;60
MF-16473;Para Yok - Hayvan Juice Aroma 10ml;108;36;51;23
MF-16530;White - KTS Line Aroma 10ml;6;;8;
MF-16621;Drive By Melon - GANGGANG Aroma 10ml;6;1;;1
MF-16663;Uwell Valyrian II Ersatzcoils 2st., single Mesh Coil 0,32Ohm;20;10;6;7
MF-16663.1;Uwell Valyrian II Ersatzcoils 2st., dual Mesh Coil 0,14Ohm;2;2;3;1
MF-16663.2;Uwell Valyrian II Ersatzcoils 2st., triple Mesh Coil 0,16Ohm;5;3;4;
MF-16671;Amnesia Mango - Pod Salt Fusion 10ml Liquid, 20mg Nikotinsalz;7;4;12;3
MF-16673;Pink Haze - Pod Salt Fusion 20mg 10ml Liquid;10;1;6;
MF-16674;Summer Syrup - Pod Salt Fusion 20mg 10ml Liquid;13;4;1;
MF-16675;Peanut Butter Banana Granola Bar - Pod Salt Fusion 20mg 10ml Liquid;28;7;7;15
MF-16676;Cola with Lime - Pod Salt Fusion 20mg 10ml Liquid;27;1;;
MF-16677;Bubble Blue - Pod Salt Fusion 10ml Liquid, 20mg Nikotinsalz;10;1;1;3
MF-16678;Blueberry Jam Tart - Pod Salt Fusion 20mg 10ml Liquid;5;1;1;2
MF-16679;Havana Royal - Flavorist Aroma 10ml;5;11;12;18
MF-16718;Heta - Velo Juicy Aroma 5ml;2;1;1;
MF-16761;Grape Mint - Evergreen Aroma 30ml;69;32;37;25
MF-16773;WHITE BISHOP - Dampflion Aroma 10ml;17279;8064;4579;4174
MF-16774;BLACK BISHOP - Dampflion Aroma 10ml;1986;188;865;1962
MF-16815;Asterion - Antimatter Aroma 10ml;9;20;18;9
MF-16817;EXVAPE eXpromizer V4 Tankerweiterungs Kit, Acryl Tankerweiterung 4ml;1;;;
MF-16851;Watermelon Ice - Dr. Frost Salt Nic 20mg 10ml Liquid;11;2;3;2
MF-16852;Honeydew Blackcurrant Ice - Dr. Frost Salt Nic 20mg 10ml Liquid;29;6;;
MF-16853;Grape Ice - Dr. Frost Salt Nic 20mg 10ml Liquid;15;6;4;
MF-16854;Strawberry Ice - Dr. Frost Salt Nic 20mg 10ml Liquid;17;8;5;
MF-16855;Orange Mango Ice - Dr. Frost Salt Nic 20mg 10ml Liquid;15;16;4;
MF-16856;Cherry Ice - Dr. Frost Salt Nic 20mg 10ml Liquid;14;6;7;
MF-16911;Fids-Paff 70VG/30PG NikotinShot 10ml 20mg;4851;4910;4942;4766
MF-16912;Fids-Paff 50VG/50PG NikotinShot 10ml 20mg;9125;3887;8295;5842
MF-16914;Fresh O Bomb  Original Rezept- K-Boom Aroma 10ml;19;4;18;5
MF-16943;GeekVape Aegis Solo 100W Mod, Blau;2;;;
MF-16988;Eleaf EC-M Ersatzverdampferköpfe 5st.;7;3;5;21
MF-17025;Heisenberg - Vampire Vape Aroma 14ml;2;;30;12
MF-17026;Pinkman - Vampire Vape Aroma 14ml;43;19;18;20
MF-17034;BLACK LION + - Dampflion Aroma 10ml;739;400;77;1815
MF-17062;Auslaufhahn für Basenkanister;3;1;5;3
MF-17098.9;IPV V3 Mini Kit, Silver C3;1;;;
MF-17106;Uwell Caliburn Koko Ersatzpods 4st.;1;4;6;2
MF-17114;ONE Apple - Dash Aroma 10ml;18;13;18;16
MF-17115;ONE Apple Ice - Dash Aroma 10ml;20;7;12;13
MF-17116;ONE Strawberry - Dash Aroma 10ml;23;5;4;10
MF-17117;ONE Strawberry Ice - Dash Aroma 10ml;22;6;11;3
MF-17119;ONE Vanilla Ice - Dash Aroma 10ml;9;2;12;
MF-17120;ONE Grape - Dash Aroma 10ml;12;2;10;
MF-17121;ONE Grape Ice - Dash Aroma 10ml;14;1;8;2
MF-17132;Franktastische Coils - Vulcano;1;;1;1
MF-17136;Franktastische Coils - Frankozilla;1;;2;
MF-17166.3;Geekvape B-Series/ Aegis Boost/ Boost Plus Ersatzcoils 5st., B 0,2 Ohm Coil;5;4;4;1
MF-17187;Aenigma Clouds Fine Alien Ni80 Coil;1;;;1
MF-17188;Aenigma Clouds Micro Alien Ni80 Coil;1;2;3;
MF-17190;Aenigma Clouds Fine Fused Claptons Ni80 Coil;1;;;
MF-17191;Aenigma Clouds Micro MTL Ni80 Coil;2;;;
MF-17202;Melone - KTS Tea Serie Aroma 10ml;8;;17;
MF-17204;Granatapfel - KTS Tea Serie Aroma 10ml;24;1;17;
MF-17208;Mezz Mania - Strapped Sodas Aroma 10ml;1;15;3;
MF-17209;Professor Pep - Strapped Sodas Aroma 10ml;5;16;10;1
MF-17250;VandyVape Prebuilt Ni80 Quad Core Fused Clapton Coil (10 St.);1;;;2
MF-17323;Lemon Tart - Dinner Lady Aroma 20ml;109;64;73;53
MF-17328;Steam Crave Hadron Mod, Gunmetal;1;;;
MF-17344.1;Aspire Nautilus GT Ersatz Tank, PSU Tank 4,2ml;1;;;
